<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.12.01	1.20555	1.23102	1.20486	1.22550	127845	0	0
2022.12.02	1.22512	1.22994	1.21341	1.22902	114985	0	0
2022.12.05	1.22737	1.23442	1.21612	1.21906	98221	0	0
2022.12.06	1.21864	1.22692	1.21273	1.21318	108036	0	0
2022.12.07	1.21296	1.22344	1.21062	1.22034	113850	0	0
2022.12.08	1.22015	1.22470	1.21547	1.22363	80887	0	4
2022.12.09	1.22324	1.23224	1.22037	1.22604	97059	0	4
