<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.12.01	12:00:00	1.21492	1.21547	1.21367	1.21387	2136	0	7
2022.12.01	12:15:00	1.21385	1.21502	1.21360	1.21436	1775	0	7
2022.12.01	12:30:00	1.21440	1.21474	1.21346	1.21381	1423	0	7
2022.12.01	12:45:00	1.21381	1.21566	1.21351	1.21419	1779	0	7
2022.12.01	13:00:00	1.21419	1.21528	1.21381	1.21429	1041	0	7
